doctrine_section,requirement_summary,implementation_location,enforcement_method,test_identifier,fixture_identifier,limitation_id,completion_status
"§6 complaint anchors","locked complaint anchors normalized into page paragraph or page bullet ranges","src/intake/complaint-normalizer.js","normalization and field validation","tests/complaint-normalizer.test.js","fixture_1_desktop_only_eligible","", "partial"
"§6 RUNUNIT atomicity","one RUNUNIT per asserted condition, no blended execution","src/intake/rununit-builder.js","candidate splitting and blended-condition rejection","tests/complaint-normalizer.test.js","fixture_1_desktop_only_eligible","", "partial"
"§7 outcome labels","only four locked outcome labels permitted","src/intake/run-record.js","enum validation","tests/run-record-sequencing.test.js","", "", "partial"
"§8 sequencing","Desktop and Mobile sequencing rules enforced at foundation layer","src/intake/sequencing.js","matter-scope sequence builder","tests/run-record-sequencing.test.js","fixture_2_desktop_and_mobile_eligible","", "partial"
"§9 note gate","notes only when permitted and one mechanical sentence","src/intake/mechanical-note-rule.js","note_basis and note gate validation","tests/mechanical-note-isolation.test.js","fixture_9_note_gated_constrained_run","", "partial"
"§state isolation","clean-state failure recorded and classified","src/intake/state-isolation.js","state isolation record and classifier","tests/mechanical-note-isolation.test.js","fixture_12_state_persistence_failure","", "partial"
"§5 sufficiency and stop","qualifying confirmations, cap, stop basis, no-post-stop","src/intake/sufficiency-stop.js","progress evaluator and append guard","tests/sufficiency-stop.test.js","fixture_6_not_eligible_generic","", "partial"
"§4 determination templates","eight locked templates only","src/intake/determination-router.js","template routing and validation","tests/determination-router.test.js","fixture_1_desktop_only_eligible","", "partial"
"§3 external output validation","forbidden language, leakage, mandatory terms, indirect signaling blocked","src/intake/external-output-validator.js","validation record and release gate","tests/external-output-validator.test.js","fixture_13_indirect_signaling_output_failure","", "partial"
"§8 manifest and records","manifest ties runs, run units, anchors, determination, and internal timing","src/intake/intake-manifest.js","reference resolution and manifest creation","tests/context-profiles-manifest.test.js","fixture_1_desktop_only_eligible","", "partial"